ID,Distance,RA,Dec,Vlsr,FWHM,M,major,minor,PA,AR
PER3,350,3h25m37.5s,30d55m20s,4.1,0.58,35,0.42,0.10,48,0.24
PER6,350,3h27m10.3s,30d12m34s,5.8,0.53,20,0.24,0.10,29,0.42
B5,350,3h44m28.7s,32d44m30s,10.2,0.55,140,0.72,0.29,8,0.39
L1489,140,4h1m45.0s,26d11m33s,6.6,0.49,2.1,0.09,0.06,-39,0.67
L1498,140,4h7m50.0s,25d2m13s,7.8,0.46,0.8,0.07,0.05,-46,0.72
L1495,140,4h11m2.7s,28d1m58s,6.4,0.47,NaN,0.29,0.08,-50,0.29
L1495NW,140,4h10m44.5s,28d4m58s,6.1,0.47,4.0,0.23,0.13,-50,0.55
L1495SE,140,4h11m2.7s,28d1m58s,6.7,0.47,NaN,0.10,0.08,-40,0.83
TAU11,140,4h14m33.9s,27d56m0s,6.7,NaN,NaN,0.13,0.09,32,0.67
TAU16,140,4h14m59.6s,28d15m0s,6.6,NaN,NaN,0.14,0.08,29,0.59
L1400G,170,4h21m12.1s,54d52m20s,3.4,0.51,6.4,0.16,0.08,-60,0.48
B217,140,4h24m42.5s,26d11m13s,6.9,0.61,2.6,0.09,0.05,46,0.52
L1524,140,4h26m26.0s,24d29m26s,6.5,0.60,1.2,0.10,0.07,17,0.71
L1400K,170,4h26m51.0s,54d45m27s,3.2,0.50,14,0.31,0.14,44,0.45
TMC2A,140,4h28m54.0s,24d26m27s,5.9,0.52,4.1,0.09,0.07,-28,0.86
L1534,140,4h36m31.2s,25d35m56s,6.3,0.50,13,0.18,0.11,-66,0.63
L1527,140,4h36m49.3s,25d57m16s,5.9,0.52,2.4,0.09,0.07,8,0.81
TMC1C,140,4h38m34.5s,25d55m0s,5.2,0.45,20,0.25,0.09,-49,0.37
L1517B,140,4h52m7.2s,30d33m18s,5.7,0.49,0.7,0.07,0.05,52,0.81
L1582A,435,5h29m11.9s,12d28m20s,10.2,0.67,150,0.53,0.25,-17,0.48
B35A,435,5h41m45.3s,9d7m40s,11.8,0.98,48,0.75,0.29,21,0.39
L134A,100,15h50m58.1s,-4d26m36s,2.7,0.51,83,0.10,0.07,-11,0.71
L1696A,160,16h25m30.0s,-24d12m32s,3.3,0.57,6.1,0.17,0.04,25,0.22
L43RNO90,160,16h31m46.3s,-15d40m50s,0.8,0.50,NaN,0.19,0.10,73,0.51
L43,160,16h31m46.3s,-15d40m50s,0.7,0.50,53,0.19,0.10,-87,0.51
L260,160,16h44m22.3s,-9d30m2s,3.5,0.44,21,0.11,0.05,63,0.48
L158,160,16h44m33.7s,-13d54m3s,3.9,0.53,33,0.38,0.18,-67,0.48
L234E,160,16h45m22.6s,-10d51m43s,3.0,0.60,0.6,0.09,0.07,-30,0.84
L234A,160,16h45m21.0s,-10d46m33s,2.9,0.48,4.8,0.13,0.10,-6,0.75
L63,160,16h47m21.0s,-18d1m0s,5.7,0.49,8.0,0.13,0.11,14,0.79
L483,200,18h14m50.5s,-4d40m49s,5.5,0.66,NaN,0.17,0.16,89,0.97
L778,200,19h24m26.4s,23d52m37s,9.9,0.59,39,0.19,0.13,-67,0.69
L1152,440,20h35m24.0s,67d43m53s,2.4,0.57,12,0.36,0.20,39,0.57
L1082C,440,20h50m19.5s,60d7m40s,-2.6,0.53,24,0.29,0.22,7,0.74
L1082A,440,20h52m20.7s,60d3m14s,-2.2,0.57,160,0.90,0.38,47,0.43
L1082B,440,20h52m41.0s,59d58m19s,-2.3,0.49,19,0.29,0.24,48,0.83
L1174,440,20h59m46.3s,68d1m4s,2.8,0.85,170,0.35,0.20,71,0.59
L1172A,440,21h1m45.0s,67d42m13s,2.7,0.65,8.2,0.20,0.18,-7,0.88
B361,350,21h10m35.0s,47d12m1s,2.7,0.81,49,0.35,0.30,31,0.85
L1031B,900,21h45m32.0s,47d18m13s,3.9,1.05,760,1.05,0.73,-39,0.70
L1251A,200,22h29m34.1s,74d58m51s,-4.0,0.54,32,0.41,0.12,-81,0.28
L1251E,200,22h38m11.7s,74d55m20s,0.3,0.90,NaN,0.36,0.18,-87,0.50
L1262A,200,23h23m32.2s,74d1m45s,3.9,0.56,3.3,0.15,0.08,-68,0.50
