RA,Dec,ID,alpha_prime
245.4112,-22.8911,J162138.7-225328,0.85
245.4379,-23.7086,J162145.1-234231,0.29
245.5871,-23.0672,J162220.9-230402,0.23
245.7725,-23.0489,J162305.4-230256,-0.23
245.7783,-22.96,J162306.8-225736,0.0
245.8842,-24.4314,J162332.2-242553,-0.11
245.9167,-23.5603,J162340.0-233337,-0.17
246.3646,-24.6131,J162527.5-243647,0.07
246.4442,-24.3933,J162546.6-242336,-0.21
246.5717,-24.3958,J162617.2-242345,0.7
246.5787,-24.4039,J162618.9-242414,-0.29
246.5887,-24.3844,J162621.3-242304,1.14
246.5925,-24.4019,J162622.2-242407,-0.15
246.5979,-24.4108,J162623.5-242439,0.06
246.6058,-24.3836,J162625.4-242301,0.61
246.6067,-24.4078,J162625.6-242428,1.45
246.6079,-24.3944,J162625.9-242340,-0.07
246.6683,-24.4539,J162640.4-242714,0.32
246.6837,-24.58,J162644.1-243448,2.5
246.7017,-24.4772,J162648.4-242838,-0.06
246.7162,-24.5108,J162651.9-243039,-0.15
246.7225,-24.5433,J162653.4-243236,-0.2
246.7258,-24.4103,J162654.2-242437,-0.21
246.7462,-24.5842,J162659.1-243503,1.85
246.7596,-24.6242,J162702.3-243727,0.92
246.7621,-24.4372,J162702.9-242614,-0.23
246.7671,-24.4747,J162704.1-242829,-0.22
246.7717,-24.6081,J162705.2-243629,1.08
246.7779,-24.6372,J162706.7-243814,0.72
246.7892,-24.6217,J162709.4-243718,1.06
246.7962,-24.6794,J162711.1-244046,-0.11
246.81,-24.4458,J162714.4-242645,-0.01
246.8146,-24.5147,J162715.5-243053,-0.02
246.8158,-24.4203,J162715.8-242513,-0.21
246.8179,-24.5206,J162716.3-243114,0.04
246.8229,-24.4822,J162717.5-242856,0.36
246.8262,-24.6539,J162718.3-243914,0.2
246.83,-24.4786,J162719.2-242843,0.07
246.8392,-24.6953,J162721.4-244143,-0.03
246.8404,-24.4981,J162721.7-242953,1.0
246.8408,-24.4575,J162721.8-242727,-0.07
246.8521,-24.6842,J162724.5-244103,1.23
246.8592,-24.7128,J162726.2-244246,-0.13
246.8621,-24.6806,J162726.9-244050,1.15
246.8662,-24.6592,J162727.9-243933,2.11
246.8683,-24.4558,J162728.4-242721,-0.14
246.8754,-24.4619,J162730.1-242743,-0.03
246.8787,-24.4592,J162730.9-242733,0.67
246.905,-24.7103,J162737.2-244237,0.14
246.9121,-24.6722,J162738.9-244020,0.25
246.9158,-24.7208,J162739.8-244315,-0.15
246.9233,-24.7789,J162741.6-244644,0.17
246.9237,-24.7267,J162741.7-244336,-0.27
246.9404,-24.7481,J162745.7-244453,0.13
246.9508,-24.7069,J162748.2-244225,1.1
246.9654,-24.5292,J162751.7-243145,-0.2
247.09,-24.6064,J162821.6-243623,0.97
247.2408,-24.6817,J162857.8-244054,0.57
247.8717,-24.0753,J163129.2-240431,-0.23
247.8925,-24.0569,J163134.2-240325,-0.04
247.8983,-24.0247,J163135.6-240129,0.13
247.9029,-24.0719,J163136.7-240419,-0.21
247.9321,-24.9233,J163143.7-245524,0.18
247.9667,-24.9572,J163152.0-245726,0.61
247.9683,-24.9267,J163152.4-245536,0.86
248.0037,-24.945,J163200.9-245642,1.37
248.0942,-24.4753,J163222.6-242831,4.89
251.1008,-24.0233,J164424.2-240124,0.3
251.3608,-24.0514,J164526.6-240305,0.23
